korean,english
어떤,What kind of?
주말,Weekend
나,Or
얼굴,Face
뭔가,Something
하루 종일,All day long
누군가,Someone
어딘가,Somewhere
언젠가,Sometime
거울,Mirror
손,Hand
살아요,To live (Present Tense)
영화관,Cinema / Movie Theatre
샤워해요,To shower (Present Tense)
저는 자기 전에 못 먹어요,I can't eat before sleeping
청소해요,To clean (Present Tense)
빨래해요,To do laundry (Present Tense)
피곤해요,To be tired (Present Tense)
만들어요,To make (Present Tense)
힘들어요,To be difficult (Present Tense)
월요일 저는 학교에 갔고 공부했고 밥 먹었어요,"On Monday, I went to school, studied and ate"
심심해요,To be bored (Present Tense)
으면서,While suffix
골프,Golf
축구,Soccer / Football
불꽃놀이,Fireworks
티비를 볼까요?,Shall we watch TV?
김치지깨를 먹을까요?,Shall we eat Kimchi Stew?
을까요,"Shall we" Suffix
빨리 일어나서," 학교 가요,Get up fast so we go to school"
꼭,"Surely, certainly, absolutely"
너무 비사기 때문에 살 수 없어요!,I can't buy it because it is too expensive!
졸업식,Graduation Ceremony
결혼식,Wedding Ceremony
몸,Body
어제는 피곤해서 일찍 자서,Yesterday I went to bed early because I was tired
하지 마!,Don't do it!
오늘은 몸이 안 좋아서 하교 못 가요,I can't go to school today since I'm not feeling too well
늦게 와서 죄송합니다,I'm sorry for coming late
늦어서 미안해요,I'm sorry for being late
이제,From now on
아무도,"Nobody, anyone"
끝나요,"To end, to be over (Present Tense)"
사진 찍자!,Let's take a picture!
가족,Family
... 기 때문에,Because of ... (Suffix 1) (for past events - formal)
... 서,Because of ... (Suffix 2) (for past events - informal)
... 으니까,Because of ... (Suffix 3) (for future events or command)
괴롭혀요,"To bother, to annoy (Present Tense)"
게임,Game
나중,Later
오빠,Older brother (for females)
거는 받으려고 해요,I am going to receive it / I intend to receive it
자려고,I am going to sleep (Intimate)
한국어를 공부하려고 해요,I am going to study Korean
오빠 거는 컴퓨터를 할게,"(Older brother) I'm going to use the computer, ok?"
나 먼저 갈게! 안녕!,I'm leaving first! Bye!
너희들,You (Plural)
싸워요,To fight (Present Tense)
자꾸,"Often, continuously"
카를로스네 (집),Carlos' (home)
동생,Younger sibling
자꾸 전화하지 마!,Don't keep calling me! (Intimate)
나도 내일 영화를 볼 거야!,I will watch a movie tomorrow too! (Intimate)
둘이 뭐 하고 있어요?,What are you two doing? (Standard)
나는 지금 서울에 가고 있습니다,I am going now to Seoul (Formal)
나가 줄까요?,Do you want me to go out? (Standard)
무리해요,To be overworked (Present Tense)
이상해요,To be strange (Present Tense)
까먹어요,To forget (Present Tense)
혹시,"Maybe, perhaps"
헤어져요,To break up (Present Tense)
나 밥 사 줘!,Buy me food!
내일 전화해 주세요!,Please give me a call tomorrow!
도와줘요,To help (Present Tense)
남겨요,"To leave (a comment, food) (Present Tense)"
들어가요,"To enter, to go into (Present Tense)"
등,Back (of the body)
어깨,Shoulder
팔,Arm
다리,Leg
곧,"Soon, shortly"
잔소리 하지 마!,Stop nagging (me)!
귀찮게하지 마세요!,Stop bothering (me)!
걱정하지 마세요!,Don't worry!
열심히,Hard
계속,Continuously
당분간 ...,For the time being ...
일찍,Early
저는 공부해요,I study (in general)
저는 공부하고 있어요,I am studying (right now)
기계,Machine
